2021 MA of Arts in Standardization, Social Regulation & Sustainable Development	2MASSRSD	76723
2022 Master en journalisme et communication, orientation médias et communication digitale	2MJCOMCD	77601
Analyse et intervention dans les systèmes éducatifs (AISE) 90 ECTS	AIDLSE9E	77152
Ancien Master en sociologie	AMS	76720
Ancien Master of Science in Innovation, Human Development and Sustainability	AMSIHDAS	76727
Année d'immersion (ADI)	AD	77253
Année propédeutique	AP	77252
Approches psycho-éducatives et situations de handicap (APESH) 120 ECTS	APSH1E	77155
Baccalauréat univ. en systèmes d'information et science des services	BUSDSS	77473
Baccalauréat universitaire (Bachelor of Arts, BA) - Allemand	BUABA	74146
Baccalauréat universitaire (Bachelor of Arts, BA) - Anglais	BUABA	74275
Baccalauréat universitaire (Bachelor of Arts, BA) - Arabe	BUABA	74463
Baccalauréat universitaire (Bachelor of Arts, BA) - Archéologie classique	BUABAC	75271
Baccalauréat universitaire (Bachelor of Arts, BA) - Archéologie préhistorique </I> et anthropologie	BUABAPA	76536
Baccalauréat universitaire (Bachelor of Arts, BA) - Arménien	BUABA	74627
Baccalauréat universitaire (Bachelor of Arts, BA) - Egyptologie et copte	BUABEC	75319
Baccalauréat universitaire (Bachelor of Arts, BA) - Espagnol	BUABE	74326
Baccalauréat universitaire (Bachelor of Arts, BA) - Etudes chinoises	BUABEC	74708
Baccalauréat universitaire (Bachelor of Arts, BA) - Etudes classiques	BUABEC	75421
Baccalauréat universitaire (Bachelor of Arts, BA) - Etudes japonaises	BUABEJ	74740
Baccalauréat universitaire (Bachelor of Arts, BA) - Etudes mésopotamiennes	BUABEM	75377
Baccalauréat universitaire (Bachelor of Arts, BA) - Etudes russes	BUABER	74540
Baccalauréat universitaire (Bachelor of Arts, BA) - Français langue étrangère	BUABFLE	76459
Baccalauréat universitaire (Bachelor of Arts, BA) - Français moderne	BUABFM	73924
Baccalauréat universitaire (Bachelor of Arts, BA) - Français médiéval	BUABFM	74003
Baccalauréat universitaire (Bachelor of Arts, BA) - Grec	BUABG	74813
Baccalauréat universitaire (Bachelor of Arts, BA) - Grec moderne	BUABGM	74515
Baccalauréat universitaire (Bachelor of Arts, BA) - H. et c. du Moyen Age	BUABHCMA	76324
Baccalauréat universitaire (Bachelor of Arts, BA) - Histoire ancienne	BUABHA	75002
Baccalauréat universitaire (Bachelor of Arts, BA) - Histoire de l'art	BUABHL	76134
Baccalauréat universitaire (Bachelor of Arts, BA) - Histoire et anthropologie des religions	BUABHAR	75035
Baccalauréat universitaire (Bachelor of Arts, BA) - Histoire générale	BUABHG	75962
Baccalauréat universitaire (Bachelor of Arts, BA) - Hébreu	BUABH	76512
Baccalauréat universitaire (Bachelor of Arts, BA) - Informatique	BUABI	74084
Baccalauréat universitaire (Bachelor of Arts, BA) - Italien	BUABI	74371
Baccalauréat universitaire (Bachelor of Arts, BA) - Latin	BUABL	74935
Baccalauréat universitaire (Bachelor of Arts, BA) - Linguistique	BUABL	74034
Baccalauréat universitaire (Bachelor of Arts, BA) - Littérature comparée	BUABLC	76290
Baccalauréat universitaire (Bachelor of Arts, BA) - Musicologie	BUABM	76242
Baccalauréat universitaire (Bachelor of Arts, BA) - Philosophie	BUABP	75877
Baccalauréats universitaires en chimie et en biochimie	BUCB	73737
Bachelor en Sciences Biomédicales	BSB	73871
Bachelor en archéologie préhistorique	BAP	73759
Bachelor en biologie	BB	73758
Bachelor en communication multilingue	BCM	77218
Bachelor en droit	BD	76904
Bachelor en géographie et environnement	BGE	76639
Bachelor en histoire - économie - société	BHES	76640
Bachelor en informatique	BI	73710
Bachelor en mathématique	BM	73722
Bachelor en mathématiques, informatique et sciences numériques (en cours de saisie)	BMISNCS	73726
Bachelor en médecine	BM	73873
Bachelor en médecine dentaire	BMD	73886
Bachelor en physique	BP	73812
Bachelor en psychologie	BP	76994
Bachelor en rel. internationales (vue faculté des lettres)	BRIFL	76454
Bachelor en relations internationales (règl 2020)	BRI2	77362
Bachelor en sciences de l'éducation 180 ECTS	BSL1E	77111
Bachelor en sciences de la Terre et de l'environnement	BSTL	73751
Bachelor en sciences pharmaceutiques	BSP	73837
Bachelor en sciences politiques	BSP	76641
Bachelor en sociologie	BS	76642
Bachelor en théologie	BT	76945
Bachelor en théologie (formation à distance)	BTAD	76946
Bachelor in Economics and Management  Bachelor en économie et management	BEAMBEM	76556
CCEP - Certificat compl. en enseignement aux degrés préscolaire et primaire	CCCEDPP	77279
CSDS -Certificat de spécialisation en didactique d'une discipline supplémentaire	C-SDDDS	77316
Certificat complémentaire en géomatique	CCG	76883
Certificat complémentaire en méthodes qualitatives pour sciences sociales	CCMQPSS	76884
Certificat complémentaire en méthodes quantitatives pour sciences sociales	CCMQPSS	76885
Certificat complémentaire en statistique appliquée  / Complementary certificate in applied statistics	CCSACCAS	76561
Certificat complémentaire en études de la citoyenneté	CCEC	76881
Certificat complémentaire en études visuelles	CCEV	76882
Certificat de droit transnational / Certificate in Transnational Law	CDTCTL	76906
Certificat de spécialisation en risques géologiques et risques liés au climat	CSRGRLC	73754
